,TOTAL_SHARES,FREE_FLOAT_SHARES,EPS_TTM,BPS,WEST_EPS_2017,WEST_EPS_2018,WEST_EPS_2019
002637.SZ,416800000.0,219571724.0,0.377536183685,5.0296,0.508800029755,0.62650001049,0.689400017262
002638.SZ,1518685574.0,681709630.0,-0.273468777086,3.3754,0.182600006461,0.22990000248,0.159299999475
002639.SZ,674072767.0,269040150.0,0.0773297331414,3.3762,0.136500000954,0.215700000525,0.194399997592
002640.SZ,1431510371.0,415265448.0,0.325251251274,3.0634,0.531599998474,0.825200021267,1.17449998856
002641.SZ,864000000.0,223876011.0,0.225453493669,2.9478,0.415499985218,0.480300009251,
002642.SZ,635769528.0,328404405.0,0.374306699109,6.0118,0.509999990463,0.649999976158,0.733600020409
002643.SZ,909133215.0,431607122.0,0.361309414913,10.4926,0.493999987841,0.60689997673,0.761200010777
002644.SZ,510657000.0,203802070.0,0.12775267524,2.5541,0.149299994111,0.183200001717,0.23409999907
002645.SZ,209445019.0,47774662.0,0.289013977267,7.4803,,,
002646.SZ,450000000.0,157350000.0,0.384869335933,5.7315,,,
002647.SZ,219583000.0,12606582.0,0.569940228661,4.4478,0.478199988604,0.776499986649,
002648.SZ,803520000.0,207000000.0,0.747079249228,4.5659,0.807299971581,0.968299984932,1.10490000248
002649.SZ,527314200.0,379799346.0,0.233096727378,10.7019,0.391999989748,0.51709997654,0.684099972248
002650.SZ,1152000000.0,659890647.0,0.133916058533,1.7449,0.160400003195,0.194399997592,0.224000006914
002651.SZ,1002500000.0,209408080.0,0.105295807421,1.9324,,,
002652.SZ,512064000.0,232234726.0,0.197697488908,2.2228,,,
002653.SZ,1080270000.0,140997005.0,0.421209517945,2.1365,,,
002654.SZ,827787010.0,321954398.0,0.194950437988,3.0467,0.324000000954,,
002655.SZ,360000000.0,305020000.0,0.04879525325,1.7897,0.49279999733,0.680499970913,
002656.SZ,409921837.0,95600000.0,-0.436773457692,4.4481,,,
002657.SZ,337576686.0,203199854.0,0.556821253171,8.3116,0.673699975014,0.846400022507,0.911499977112
002658.SZ,604880320.0,209217455.0,0.322350705227,2.8642,0.449000000954,0.541400015354,0.576399981976
002659.SZ,498566987.0,236121776.0,-0.183409359332,4.4847,0.0696000009775,0.286799997091,0.477899998426
002660.SZ,277030616.0,156698800.0,-0.00373794198256,3.1071,,,
002661.SZ,336250498.0,175755093.0,0.414363954161,6.3379,0.507099986076,0.619400024414,0.768199980259
002662.SZ,1500000000.0,399841100.0,0.4324557026,6.4672,0.51130002737,0.587300002575,0.641799986362
002663.SZ,1795890452.0,923542932.0,0.0574056663842,2.5646,,,
002664.SZ,400020000.0,163429894.0,0.599589605845,4.3832,0.696300029755,0.837400019169,1.0121999979
002665.SZ,1971129886.0,1041813732.0,0.0542536956796,1.4505,0.339100003242,0.55119997263,0.59969997406
002666.SZ,754329268.0,341246539.0,0.181880436277,3.6755,,,
002667.SZ,135960000.0,61021250.0,-0.114677472051,5.4735,,,
002668.SZ,635470225.0,281621145.0,0.479062544622,17.1088,0.760800004005,0.988499999046,1.31630003452
002669.SZ,230797101.0,122186788.0,0.333088485197,7.0749,0.576099991798,0.828199982643,0.900399982929
002670.SZ,1497804400.0,314314103.0,0.351199427509,12.3692,0.618799984455,0.717899978161,0.866900026798
002671.SZ,476582556.0,292937496.0,0.00727377254236,4.2286,0.34169998765,0.383199989796,0.386099994183
002672.SZ,887152102.0,293562800.0,0.623525205805,3.8349,0.592599987984,0.727900028229,0.913600027561
002673.SZ,3501839770.0,1738248921.0,0.294124857789,4.5053,0.401399999857,0.500299990177,0.551999986172
002674.SZ,302178412.0,102024500.0,0.243693675444,7.7929,0.415800005198,0.570500016212,0.653599977493
002675.SZ,703603035.0,308491543.0,0.206700335922,3.9464,0.377700001001,0.519900023937,0.641300022602
002676.SZ,400000000.0,284000000.0,0.081261722175,2.7297,,,
002677.SZ,645872102.0,160000000.0,0.333272179652,1.8561,0.436500012875,0.576699972153,0.749100029469
002678.SZ,956000000.0,171129830.0,0.163634523274,2.1489,0.187199994922,0.225700005889,0.276199996471
002679.SZ,138680000.0,41163960.0,0.199379328598,5.1634,,,
002680.SZ,969390378.0,169282736.0,0.469524300818,3.7854,0.553099989891,0.680999994278,0.808000028133
002681.SZ,1246652600.0,314578042.0,0.302105538279,2.3152,0.447800010443,0.661499977112,0.907400012016
002682.SZ,374912396.0,191614748.0,0.139257626974,6.903,0.472200006247,0.585399985313,0.699899971485
002683.SZ,701487983.0,287416692.0,0.153324776527,4.1058,0.355100005865,0.463400006294,0.542699992657
002684.SZ,378249593.0,119294927.0,0.250735039072,7.5316,1.17589998245,1.89830005169,2.92009997368
002685.SZ,689442857.0,278600000.0,0.0456520471283,1.9047,,,
002686.SZ,443295521.0,203007500.0,0.2490006479,3.1687,0.402599990368,0.543299973011,0.805100023746
002687.SZ,354852000.0,213137000.0,0.174233032419,2.8365,0.241500005126,0.329400002956,0.425000011921
002688.SZ,635289655.0,286119166.0,0.243376733673,2.4181,0.38330000639,0.495900005102,0.63789999485
002689.SZ,956307976.0,400106263.0,0.0757259655858,1.4621,0.112000003457,0.127800002694,0.145300000906
002690.SZ,676000000.0,223080489.0,0.463185738506,3.069,0.60689997673,0.776199996471,0.98299998045
002691.SZ,200000000.0,58831521.0,0.0262725744,4.2829,,,
002692.SZ,718146000.0,284686837.0,0.115505387874,2.0332,,,
002693.SZ,405000000.0,198984796.0,-0.952779383062,1.3507,,,
002694.SZ,597196800.0,282477282.0,0.0559720882295,3.856,0.152500003576,0.2662999928,0.445899993181
002695.SZ,499957128.0,179957128.0,0.209008696082,3.2442,0.258700013161,0.381700009108,0.523199975491
002696.SZ,176000000.0,80029076.0,0.327628540795,5.8075,0.546599984169,0.704100012779,0.84659999609
002697.SZ,1360000000.0,457287420.0,0.0996658283382,1.6316,0.134000003338,0.157600000501,0.168200001121
002698.SZ,681700000.0,257725576.0,0.167039130615,2.6968,0.199499994516,0.246399998665,
